RowID,Title,DEI Focus,Detailed Explanation
20,Collaborative Research: Mechanics of Elastomers Tailored by Cation-Pi Interactions,None,"'Collaborative Research: Mechanics of Elastomers Tailored by Cation-Pi Interactions' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
21,IRES: Neurobiological basis of elaborate display evolution in frogs endemic to the Asian tropics,None,"'IRES: Neurobiological basis of elaborate display evolution in frogs endemic to the Asian tropics' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
22,"CAREER: Interpolation, stability, and rationality",Medium,"'CAREER: Interpolation, stability, and rationality' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
23,Variational methods in singular geometry,None,"'Variational methods in singular geometry' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
24,As If vs. Substantive Rationality: Identification and Implications,Medium,"'As If vs. Substantive Rationality: Identification and Implications' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
25,Compactifications of moduli spaces and their tropicalizations,None,"'Compactifications of moduli spaces and their tropicalizations' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
26,Investigating the crust and uppermost mantle beneath volcanoes with new seismic analyses,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
27,"Collaborative Research: NSF-SNSF: Discontinuous Galerkin Methods on Cube-Sphere Mesh, Optimized for Long Time, Exascale, Structure-Preserving Simulations",None,"'Collaborative Research: NSF-SNSF: Discontinuous Galerkin Methods on Cube-Sphere Mesh, Optimized for Long Time, Exascale, Structure-Preserving Simulations' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
28,Dynamic Catalysts for Sulfur Atom Transfer Reactions,None,"'Dynamic Catalysts for Sulfur Atom Transfer Reactions' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
29,Accurate Determination of Branching Fractions in Ammonia Combustion,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
30,Collaborative Research: Bridging geoscience and engineering to interrogate seismic cycle processes in the earthquake critical zone,None,"'Collaborative Research: Bridging geoscience and engineering to interrogate seismic cycle processes in the earthquake critical zone' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
31,EAGER: Establish a New Paradigm in SOFC/SOEC Surface Segregation Modeling,None,"'EAGER: Establish a New Paradigm in SOFC/SOEC Surface Segregation Modeling' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
32,"Collaborative Research: CDS&E: Data-Driven Discovery of Neural ODE Dynamics, Astrophysical Models, and Orbits (Neural ODE DynAMO)",None,"'Collaborative Research: CDS&E: Data-Driven Discovery of Neural ODE Dynamics, Astrophysical Models, and Orbits (Neural ODE DynAMO)' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
33,Stochastic Nash Evolution,None,"'Stochastic Nash Evolution' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
34,New Physics Signatures in Cosmological Observations,None,"'New Physics Signatures in Cosmological Observations' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
35,Graduate Research Fellowship Program (GRFP),None,"'Graduate Research Fellowship Program (GRFP)' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
36,"Asymptotic Phenomena in Reaction-Diffusion, Stochastic, and Fluid Equations",None,"'Asymptotic Phenomena in Reaction-Diffusion, Stochastic, and Fluid Equations' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
37,Cooperation in Context: Biotic and abiotic drivers of interaction outcome in cleaner shrimp-client fish mutualisms,None,"'Cooperation in Context: Biotic and abiotic drivers of interaction outcome in cleaner shrimp-client fish mutualisms' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
38,Studies in Moduli Theory and Birational Geometry,None,"'Studies in Moduli Theory and Birational Geometry' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
39,Reconstructing global ice volume and bottom water temperature in the 41-kyr world - a novel integrated data and machine-learning approach,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
40,Collaborative Research: Research Infrastructure: HNDS-I: Building AI-Based Tools for Continental-Scale Archaeological Surveys,None,"'Collaborative Research: Research Infrastructure: HNDS-I: Building AI-Based Tools for Continental-Scale Archaeological Surveys' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
41,Statistical Policy Choice in Dynamic Environments,None,"'Statistical Policy Choice in Dynamic Environments' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
42,How Individual Bias Supports Collective Performance,None,"'How Individual Bias Supports Collective Performance' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
43,Arctic Atmosphere-ice Variability and Marine Accessibility: A Data-driven Approach,Medium,"'Arctic Atmosphere-ice Variability and Marine Accessibility: A Data-driven Approach' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
44,Partial Differential Equation Methods in Kinetic Theory and Their Applications,None,"'Partial Differential Equation Methods in Kinetic Theory and Their Applications' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
45,Thermodynamics of Water Phase Change in Isolated Single Digit Nanopores,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
46,Problems in Regularity Theory of Partial Differential Equations,None,"'Problems in Regularity Theory of Partial Differential Equations' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
47,NSF-BSF: Mechanisms of Perceptual Enhancement by Action Preparation,None,"'NSF-BSF: Mechanisms of Perceptual Enhancement by Action Preparation' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
48,Collaborative Research: Robophysical Modeling of Bacterial Swimming Motion,None,"'Collaborative Research: Robophysical Modeling of Bacterial Swimming Motion' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
49,Conference: STEM Diversity Drivers,Medium,"'Conference: STEM Diversity Drivers' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
50,Collaborative Research: Legitimacy and Efficacy of Transitional Justice Institutions in Comparative Perspective,Medium,"'Collaborative Research: Legitimacy and Efficacy of Transitional Justice Institutions in Comparative Perspective' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
51,SHF: Small: Machine Learning-based Combinatorial Optimization for Electronic Design Automation and Beyond,None,"'SHF: Small: Machine Learning-based Combinatorial Optimization for Electronic Design Automation and Beyond' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
52,Assessing the roles of wear and roughness on dynamic fault friction,Medium,"'Assessing the roles of wear and roughness on dynamic fault friction' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
53,Conference: 27th International Congress on Plant Reproduction,Medium,"'Conference: 27th International Congress on Plant Reproduction' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
54,Collaborative Research: Large-Scale Wireless RF Networks of Microchip Sensors,Medium,"'Collaborative Research: Large-Scale Wireless RF Networks of Microchip Sensors' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
55,Collaborative Research: Novel computational methods to examine students' concepts of biological variability,Medium,"'Collaborative Research: Novel computational methods to examine students' concepts of biological variability' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
56,EAGER: Space-Time-Pulsed Engineered-Excitation For Diffraction-Free Imaging,Medium,"'EAGER: Space-Time-Pulsed Engineered-Excitation For Diffraction-Free Imaging' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
57,Reconstructions of central tropical Pacific climate during the 19th to early 20th centuries,Medium,"'Reconstructions of central tropical Pacific climate during the 19th to early 20th centuries' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
58,Probing the Electronic Structure and Chemical Bonding of Cryogenically-Cooled Boron and Metal-Boride Nanoclusters,None,"'Probing the Electronic Structure and Chemical Bonding of Cryogenically-Cooled Boron and Metal-Boride Nanoclusters' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
59,CRCNS US-German Collaborative Research Proposal: Neural and computational mechanisms of flexible goal-directed decision making,None,"'CRCNS US-German Collaborative Research Proposal: Neural and computational mechanisms of flexible goal-directed decision making' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
60,CAREER: Inertio-Capillary Dynamics of Particles at Interfaces,None,"'CAREER: Inertio-Capillary Dynamics of Particles at Interfaces' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
61,RII Track-4:NSF: Synthesis of Oxide Ferroelectric Rashba Semiconductors for Low Power Computing,None,"'RII Track-4:NSF: Synthesis of Oxide Ferroelectric Rashba Semiconductors for Low Power Computing' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
62,Education DCL: EAGER: Teaching Privacy via Stakeholder Modeling,Medium,"'Education DCL: EAGER: Teaching Privacy via Stakeholder Modeling' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
63,RII Track-4:NSF: Evaluating the Role of Deep Ocean Equilibration in Warmer Climates,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
64,Collaborative Research: Scalable Nanomanufacturing of Perovskite-Analogue Nanocrystals via Continuous Flow Reactors,None,"'Collaborative Research: Scalable Nanomanufacturing of Perovskite-Analogue Nanocrystals via Continuous Flow Reactors' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
65,Travel: Student Travel Support to SOSP 2023,Medium,"'Travel: Student Travel Support to SOSP 2023' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
66,Collaborative Research: Conference: Mathematical Sciences Institutes Diversity Initiative,Medium,"'Collaborative Research: Conference: Mathematical Sciences Institutes Diversity Initiative' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
67,RII Track-4:NSF: Resistively-Detected Electron Spin Resonance in Multilayer Graphene,Medium,"'RII Track-4:NSF: Resistively-Detected Electron Spin Resonance in Multilayer Graphene' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
68,Expediting Solutions to Hard Multi-Robot Path Finding Instances,None,"'Expediting Solutions to Hard Multi-Robot Path Finding Instances' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
69,CISE-ANR: HCC: Small: Learning to Translate Freehand Design Drawings into Parametric CAD Programs,Medium,"'CISE-ANR: HCC: Small: Learning to Translate Freehand Design Drawings into Parametric CAD Programs' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
70,"Neural Network Approximation of PDEs - Efficiency, Reliability and Quantifiable Accuracy",None,"'Neural Network Approximation of PDEs - Efficiency, Reliability and Quantifiable Accuracy' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
71,Collaborative Research: Evaluating The Exhumation History of the Aleutians with Zircon And Apatite Thermochronology,Medium,"'Collaborative Research: Evaluating The Exhumation History of the Aleutians with Zircon And Apatite Thermochronology' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
72,Collaborative Research: Testing the timing and direction of mantle exhumation at the Iberia-Newfoundland margins with low-temperature thermochronology,Medium,"'Collaborative Research: Testing the timing and direction of mantle exhumation at the Iberia-Newfoundland margins with low-temperature thermochronology' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
73,Collaborative Research: Tracking nitrogen in mélange matrix from fore-arc to sub-arc depths with implications for deep nitrogen cycling: A combined field and experimental approach,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
74,Collaborative Research: CSR: Core: Medium: Scaling Unix/Linux Shell Programs,None,"'Collaborative Research: CSR: Core: Medium: Scaling Unix/Linux Shell Programs' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
75,NSF-BSF: Reactivation and sleep in visual and motor skill acquisition: learning beyond training,None,"'NSF-BSF: Reactivation and sleep in visual and motor skill acquisition: learning beyond training' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
76,Collaborative Research: Halogen Behavior In the Pluton-to-Volcanic Arc System,Medium,"'Collaborative Research: Halogen Behavior In the Pluton-to-Volcanic Arc System' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
77,Collaborative Research: SUSCHEM: Engineering Polymer-Nanocatalyst Membranes for Direct Capture of CO2 and Electrochemical Conversion to C2+ Liquid Fuel,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
78,Collaborative Research: AF: Medium: Foundations of Anonymous Communication in Large-Scale Networks,None,"'Collaborative Research: AF: Medium: Foundations of Anonymous Communication in Large-Scale Networks' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
79,Collaborative Research: RAPID--Characterizing the Water Isotope Signature of an El Nino Event for Paleoclimate and Hydroclimate Studies,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
80,"Collaborative Research: Using a Combined Basin Analysis, Isotopic, and Modeling Approach to Reconstruct the LGM through Early Holocene Hydroclimate for Glacial Lake Mojave.",Medium,"'Collaborative Research: Using a Combined Basin Analysis, Isotopic, and Modeling Approach to Reconstruct the LGM through Early Holocene Hydroclimate for Glacial Lake Mojave.' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
81,MRI: Track 1 Acquisition of a replacement electron microprobe at Brown University,None,"'MRI: Track 1 Acquisition of a replacement electron microprobe at Brown University' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
82,Collaborative Research: HNDS-I:SweetPea: Automating the Implementation and Documentation of Unbiased Experimental Designs,Medium,"'Collaborative Research: HNDS-I:SweetPea: Automating the Implementation and Documentation of Unbiased Experimental Designs' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
83,Collaborative Research: RI: Medium: Bridging the Semantic-Metric Gap via Multinocular Image Integration,Medium,"'Collaborative Research: RI: Medium: Bridging the Semantic-Metric Gap via Multinocular Image Integration' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
84,"CAREER: Mapping class groups, diffeomorphism groups, and moduli spaces",None,"'CAREER: Mapping class groups, diffeomorphism groups, and moduli spaces' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
85,Nonlocal Terahertz Nanospectroscopy and Nanoimaging,None,"'Nonlocal Terahertz Nanospectroscopy and Nanoimaging' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
86,Random functions and stochastic processes on random graphs,None,"'Random functions and stochastic processes on random graphs' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
87,Collaborative Research: Magnetic Clustering using Novel Poly(amino acid) Corrals to Advance Magnetic Particle Imaging,Medium,"'Collaborative Research: Magnetic Clustering using Novel Poly(amino acid) Corrals to Advance Magnetic Particle Imaging' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
88,Electrically-driven silicon single-photon source,None,"'Electrically-driven silicon single-photon source' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
89,Rare Events and High-Dimensional Stochastic Systems,Medium,"'Rare Events and High-Dimensional Stochastic Systems' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
